source,lab_id,site_or_object,context,material,c14bp,sd,orig_ref,relevance
manning2022_S1B,OxA-11252,"Kommos, Crete",Early LMIA K85A/66B/4:22+23,Charred twig,3375,45,"Manning 2022 ref 64,90",Aegean sequence around the eruption
manning2022_S1B,VERA-2637,"Kommos, Crete",Early LMIA K85A/66B/4:22+23,Charred twig,3390,20,"Manning 2022 ref 64,90",Aegean sequence around the eruption
manning2022_S1B,OxA-20127,Lerna Shaft Grave 1,Mid-LHI,"Animal bone, Ovis/Capra metacarpus",3522,27,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-20128,Lerna Shaft Grave 1,Mid-LHI,"Animal bone, Ovis/Capra metacarpus",3479,27,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-20170,Lerna Shaft Grave 1,Mid-LHI,"Animal bone, Ovis/Capra R ulna",3360,29,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-22634,Lerna Shaft Grave 1,Mid-LHI,"Animal bone, Cervus (or Bos?) femur",3314,27,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-22635,Lerna Shaft Grave 1,Mid-LHI,"Animal bone, Equus asinus radius",3391,26,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA—X-2304-54,Lerna Shaft Grave 1,Mid-LHI,"Animal bone, Cervus tibia",3378,28,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-20126,Lerna Shaft Grave 2,Late LHI,"Animal bone, Bos MT",3356,27,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-20128,Lerna Shaft Grave 2,Late LHI,"Animal bone, Ovis/Capra metacarpus",3326,28,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-20169,Lerna Shaft Grave 2,Late LHI,"Animal bone, Ovis/Capra metacarpus",3393,31,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-22631,Lerna Shaft Grave 2,Late LHI,"Animal bone, Ovis/Capra metacarpus",3276,27,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-22632,Lerna Shaft Grave 2,Late LHI,"Animal bone, Sus Mc III",3313,27,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1B,OxA-22633,Lerna Shaft Grave 2,Late LHI,"Animal bone, Bos metacarpus",3275,26,Manning 2022 ref 91,Aegean sequence around the eruption
manning2022_S1C,OxA-2517,"Chania, Crete","LMIB Destruction TR10, Rm E",Pisum sativum,3380,80,"Manning 2022 ref 64,99",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-2518,"Chania, Crete","LMIB Destruction TR17, 1984, Rm C",Vicia faba,3340,80,"Manning 2022 ref 64,99",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-2646,"Chania, Crete","LMIB Destruction TR17, 1984, Rm C",Hordeum sp.,3315,70,"Manning 2022 ref 64,99",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-2647,"Chania, Crete","LMIB Destruction TR24, 1989, L6, BA1",Charred indeterminate seed remains,3150,70,"Manning 2022 ref 64,99",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-10320,"Chania, Crete","LMIB Destruction TR17, 1984, Rm C",Vicia faba,3208,26,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-10321,"Chania, Crete","LMIB Destruction TR17, 1984, Rm C",Hordeum sp.,3268,27,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-10322,"Chania, Crete","LMIB Destruction TR10, Rm E",Pisum sativum,3338,26,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-10323,"Chania, Crete","LMIB Destruction TR24, 1989, L6, BA1",Charred indeterminate seed remains,3253,25,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-3187,"Myrtos-Pyrgos, Crete","LMIB Destruction K5,2,1",Hordeum sp.,3230,70,"Manning 2022 ref 64,99",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-3188,"Myrtos-Pyrgos, Crete","LMIB Destruction K5,2,4",Hordeum sp.,3200,70,"Manning 2022 ref 64,99",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-3189,"Myrtos-Pyrgos, Crete","LMIB Destruction K5/K6,2,1",Vicia ervilia,3270,70,"Manning 2022 ref 64,99",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-3225,"Myrtos-Pyrgos, Crete","LMIB Destruction K5/L6,2,2",Vicia ervilia,3160,80,"Manning 2022 ref 64,99",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-10324,"Myrtos-Pyrgos, Crete","LMIB Destruction K5,2,1",Hordeum sp.,3270,26,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-10325,"Myrtos-Pyrgos, Crete","LMIB Destruction K5/K6,2,1",Vicia ervilia,3228,26,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-10326,"Myrtos-Pyrgos, Crete","LMIB Destruction K5/L6,2,2",Vicia ervilia,3227,25,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-10411,"Myrtos-Pyrgos, Crete","LMIB Destruction K5,2,4",Hordeum sp.,3150,40,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,Beta-85991,"Mochlos, Crete",LMIB Destruction B.kiln.2910,Olea europaea stone,3240,50,Manning 2022 ref 210,LMIB / LMII destructions on Crete
manning2022_S1C,Beta-85992,"Mochlos, Crete",LMIB Destruction A.2.212,Olea europaea stone,3180,40,Manning 2022 ref 210,LMIB / LMII destructions on Crete
manning2022_S1C,Beta-115890,"Mochlos, Crete",LMIB Destruction B.kiln.2801,Olea europaea stones,3170,60,Manning 2022 ref 210,LMIB / LMII destructions on Crete
manning2022_S1C,Beta-129765,"Mochlos, Crete",LMIB Destruction B.9.1705,Olea europaea stone,3220,40,Manning 2022 ref 210,LMIB / LMII destructions on Crete
manning2022_S1C,Beta-151768,"Mochlos, Crete",LMIB Destruction A.pit.2315N,Olea europaea stone,3270,40,Manning 2022 ref 210,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-2096,"Knossos, Crete","LMII Destruction, MUMK",Hordeum sp.,3070,70,"Manning 2022 ref 64,68",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-2097,"Knossos, Crete","LMII Destruction, MUMK",Hordeum sp.,3190,65,"Manning 2022 ref 64,68",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-2098,"Knossos, Crete","LMII Destruction, MUMK",Hordeum sp.,3220,65,"Manning 2022 ref 64,68",LMIB / LMII destructions on Crete
manning2022_S1C,OxA-11882,"Knossos, Crete","LMII Destruction, MUMK",Hordeum sp.,3156,33,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1C,OxA-11943,"Knossos, Crete","LMII Destruction, MUMK",Hordeum sp.,3148,23,Manning 2022 ref 64,LMIB / LMII destructions on Crete
manning2022_S1D,OxA-10319,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 3-4",3424,38,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2747,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 3-4",3386,30,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10316,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 3-5",3342,38,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2744,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 3-5",3427,31,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10318,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 5-6",3355,40,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2746,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 5-6",3471,28,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10315,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 6-8bark",3446,39,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2743,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 6-8bark",3413,28,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10317,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 7-8bark",3440,35,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2745,"Akrotiri, Thera","M4N003 LCI, pre-VDL","Olea europaea, inner ‘rings’ 7-8bark",3386,28,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10314,"Akrotiri, Thera","65/N001/I2 LCI, pre-VDL","Tamarix sp., ring 1",3330,27,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2751,"Akrotiri, Thera","65/N001/I2 LCI, pre-VDL","Tamarix sp., ring 1",3325,28,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10313,"Akrotiri, Thera","65/N001/I2 LCI, pre-VDL","Tamarix sp., ring 2",3353,27,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2749,"Akrotiri, Thera","65/N001/I2 LCI, pre-VDL","Tamarix sp., ring 2",3335,33,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10312,"Akrotiri, Thera","65/N001/I2 LCI, pre-VDL","Tamarix sp., ring 3bark",3293,27,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2748,"Akrotiri, Thera","65/N001/I2 LCI, pre-VDL","Tamarix sp., ring 3bark",3319,28,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10730,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 1-10",3490,45,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-11948,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 1-10",3526,25,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2742,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 1-10",3476,28,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10729,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 11-20",3410,45,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-11946,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 11-20",3474,24,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2741,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 11-20",3485,28,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-10728,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 21-30bark",3455,45,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-11945,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 21-30bark",3473,24,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,VERA-2740,"Trianda, Rhodes",Late MBA/Early LMIA AE1024,"Quercus sp., rings 21-30bark",3481,32,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-11250,"Akrotiri, Thera",Late Middle Cycladic (LMC)/Earlier LCI,Wood charcoal,3550,45,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,Hd-22037,"Akrotiri, Thera",Late Middle Cycladic/Earlier LCI,Wood charcoal,3552,19,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,DEM-1458,"Akrotiri, Thera",Late Middle Cycladic,Wood charcoal,3375,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1528,"Akrotiri, Thera",Before LC? (so LMC),Wood charcoal,3462,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1531,"Akrotiri, Thera",Late Middle Cycladic,Wood charcoal,3441,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1623,"Akrotiri, Thera",Late Middle Cycladic,Wood charcoal,3499,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-89,"Trianda, Rhodes",Earlier LMIA,Wood charcoal,3517,83,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-859,"Trianda, Rhodes",Earlier LMIA,Wood charcoal,3568,44,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-1313,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL) M20/43N045,Wood charcoal,3396,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1314,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL) M18/43N045,Wood charcoal,3467,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1345,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL) M21/43N047,Wood charcoal,3441,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1455,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL) M22/53AN023,Wood charcoal,3508,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1456,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL) M18/53AN018,Wood charcoal,3456,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1457,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL) M15/53AN017,Wood charcoal,3436,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1609,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL) M12/53AN016,Wood charcoal,3433,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1610,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL) I3/53AN015,Wood charcoal,3420,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-1646,"Akrotiri, Thera",LCI (pre-LCI Advanced/VDL)  I1/61N001 W.S.,Wood charcoal,3508,25,Manning 2022 ref 78,pre- or post-eruption context
manning2022_S1D,DEM-828,"Trianda, Rhodes","Liamis property Room II, Layer ΣΤ’ Depth 3.59-3.66m Mature LBIA/LMIA",Wood charcoal,3407,25,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-830,"Trianda, Rhodes","Platsis property AE56, Western stone heap trench Layer V Depth 3.88-4.00m Mature LBIA/LMIA",Wood charcoal,3449,21,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-831,"Trianda, Rhodes","Platsis property AE27, Destruction layer northwards wall Nr 4 Depth 2.65-2.98m Mature LBIA/LMIA",Wood charcoal,3466,23,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,OxA-11894,"Miletos, Turkey",LMIA,"Animal bone, Ovis/Capra",3377,24,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,OxA-11951,"Miletos, Turkey",LMIA,"Animal bone, Ovis/Capra",3423,23,Manning 2022 ref 64,pre- or post-eruption context
manning2022_S1D,DEM-90,"Trianda, Rhodes","Markos property AE273, Square AB1, Layer Δ’ Depth 2.46-2.68m LMIB",Wood charcoal,3258,54,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-91,"Trianda, Rhodes","Markos property AE273, Square AB1, Layer Δ’ Depth 2.46-2.68m, LMIB",Wood charcoal,3240,35,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-856,"Trianda, Rhodes","Liamis property AE224, Square Γ2, Layer E’, from pit Depth 3.10-3.30m, LMIB",Wood charcoal,3175,41,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-829,"Trianda, Rhodes","Liamis property Square Γ2, Layer ΣΤ’ Depth 2.77-2.93/3.03m, LMIB, LMIB",Wood charcoal,3171,33,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-857,"Trianda, Rhodes","Liamis property AE236, Square Γ2, Layer Ηæ, from pit Depth 3.84-4.00m, LMIB",Wood charcoal,3142,52,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,DEM-858,"Trianda, Rhodes","Liamis property AE329, Square B2, under the floor Depth 3.03-3.16m, LMIB",Wood charcoal,3138,50,Manning 2022 ref 73,pre- or post-eruption context
manning2022_S1D,OxA-3674,"Kommos, Crete","LMII, Hillside 41A1/26","Animal bone, charred",3090,80,Manning 2022 ref 9,pre- or post-eruption context
pearson2023_T1,AA111457,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 88-3 Inner,Olea europaea stem (inner),3314,23,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
pearson2023_T1,AA110275,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 88-3 Outer,Olea europaea stem (outer),3297,23,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
pearson2023_T1,AA110272,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 88-2 Inner,Olea europaea stem (inner),3361,21,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
pearson2023_T1,AA110273,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 88-2 Outer,Olea europaea stem (outer),3341,23,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
pearson2023_T1,AA110274,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 88-2 Bark,Olea europaea stem (bark),3301,23,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
pearson2023_T1,AA111456,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 88-1 Inner,Olea europaea stem (inner),3398,21,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
pearson2023_T1,AA110271,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 88-1 Outer,Olea europaea stem (outer),3320,22,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
pearson2023_T1,AA111458,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 72-2 Inner,Olea europaea stem (inner),3358,23,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
pearson2023_T1,AA111459,"Therasia olive shrub, trench AB, Koimisis",carbonised below Minoan pumice; 72-2 Outer,Olea europaea stem (outer),3342,24,Pearson et al. 2023,eruption-killed shrub; outermost = eruption TPQ
bruins2025_T4,GrA-64347,Ahmose Temple mudbrick (BM EA 32689),Ahmose (early 18th Dyn),pure straw,3230,60,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T4,GrA-59737,Ahmose Temple mudbrick (BM EA 32689),Ahmose (early 18th Dyn),straw & mud,3290,40,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T4,GrM-15973,Ahmose Temple mudbrick (BM EA 32689),Ahmose (early 18th Dyn),straw & mud,3285,45,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T4,GrM-15201,Ahmose Temple mudbrick (BM EA 32689),Ahmose (early 18th Dyn),straw & mud,3385,20,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T4,GrM-14176_14177,Ahmose Temple mudbrick (BM EA 32689),Ahmose (early 18th Dyn),straw & mud,3335,75,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T5,GrA-59770,Satdjehuty burial cloth (BM EA 37106),early 18th Dyn,linen,3310,25,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T6,GrM-31118,stick shabti Teti-sa-intef (UC 40178),17th Dyn (Petrie),wood (holocellulose),3295,28,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T6,GrM-12680,stick shabti Tet-sa (UC 40179),17th Dyn (Petrie),wood (holocellulose),3224,30,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T6,GrM-12683,stick shabti Teti-sa-intef (UC 40181),17th Dyn (Petrie),wood (holocellulose),3185,30,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T6,GrM-12684,stick shabti Teti-sa-intef (UC 40182),17th Dyn (Petrie),wood (holocellulose),3288,30,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T6,GrM-12685,stick shabti Teti-sa-intef (UC 40184),17th Dyn (Petrie),wood (holocellulose),3251,30,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
bruins2025_T6,GrM-31119,stick shabti Djehuty (UC 40196),17th Dyn (Petrie),wood (holocellulose),3300,30,Bruins & van der Plicht 2025,Egyptian 17th/early-18th Dynasty comparison
