sense,author,work,form,corpus,source_id,note,context
muscle,"Celsus, Aulus Cornelius",De Medicina,musculosus,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"igitis verberatur: exsaniat enim. Ac salsamentum quoque recte super id vulnus deligatur. Utique autem, si rabiosus canis fuit, cucurbitula virus ejus extrahendum est. Deinde, si locus neque nervosus, neque musculosus est, vulnus id adurendum est: si uri non potest, sanguinem homini mitti non alienum est. Tum usto quidem vulneri superimponenda quae ceteris ustis sunt: ei vero quod expertum ignem non est, ea medicamenta, quae vehement"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculum,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"tur reperiuntur . Expedita curatio est in fistula simplici recenti, intra canem: adjuvatque ipsam corpus, si juvenile, si firmum est. Inimica contraria his sunt: itemque, si fistula os, vel cartilaginem, vel nervum, vel musculum laesit; si articulum occupavit; si vel ad vesicam, vel ad pulmonem, vel ad vulvam, vel ad grandes venas arteriasve, vel ad inania, ut guttur, stomachum, thoracem penetravit. Ad intestina quoque eam tendere, sem"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculus,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"tunica inviolata servanda est. Protinus autem alba et intenta se ostendit. Tum scalpelli manubriolo diducenda a cute et carne est, ejiciendaque cum eo, quod intus tenet. Si quando tamen ab inferiore parte tunicae musculus inhaesit, ne is laedatur, superior pars illius decidenda, alia inibi relinquenda est. Ubi tota exemta exempta est, committendae orae, fibulaque his injicienda, et super medicamentum glutinans dandum est. Ubi vel tota tu"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculi,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"ra tempora, et inter verticem ac frontem: deinde cervice resoluta, qua notae sunt, venas incidere, et sanguinem mittere: ubi satis fluxit, tenuibus ferramentis adurere: contra tempora quidem timide, ne subjecti musculi, qui maxillas tenent, sentiant: inter frontem vero et verticem vehementer, ut squama ab osse secedat. Efficacior tamen etiamnum est Afrorum curatio, qui verticem usque ad os adurunt sic, ut squamam remittat. Sed nihil m"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculis,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"t, totis oris paulatim extenuantur; atque ita inferiora ossa superioribus leniter insidunt. Crassissimum vero in capite os post aurem est, qua capillus, ut verisimile est, ob id ipsum non gignitur. Sub iis quoque musculis, qui tempora connectunt, os medium , in exteriorem partem inclinatum, positum est . At facies suturam habet maximam; quae a tempore incipiens, per medios oculos naresque transversa pervenit ad alterum tempus. A qua brev"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculis,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"s exigit, immobiles sunt. Verum ipsius maxillae partes extremae quasi bicornes sunt. Alter processus, infra latior, vertice ipso tenuatur, longiusque procedens sub osse jugali subit, et super id temporum mussulis musculis illigatur. Alter brevior et rotundior, et in eo sinu, qui juxta foramina auris est, cardinis modo fit; ibique huc et illuc se inclinans maxillae facultatem motus praestat. Duriores osse dentes sunt: quorum pars m"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculis,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"latescentia ad spinam tendunt; et quo latiora quaque parte sunt, hoc hebetiora. Atque ipsa quoque, in imo cartilaginosa, posteriore parte velut innatant; quoniam, nisi in summo nulli ossi inhaerescunt. Ibi vero validis musculis nervisque constricta sunt. At a summa costa paulo interius, quam ubi ea media est, os excrescit , ibi quidem tenue, procedens vero, quo propius lato scapularum ossi fit, eo plenius latiusque et paulum in exteriora curva"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculos,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"lis procedentibus lingulis cutis subsecatur. Inter quae, si sanguis fertur, spongia subinde in aceto tincta cohibendus est, occupandusque objectis linamentis, et caput altius excitandum. Neque id ullum metum, nisi inter musculos, qui tempora continent, affert: sed ibi quoque nihil tutius fit . In omni vero fisso fractove osse protinus antiquiores medici ad ferramenta veniebant, quibus id exciderent. Sed multo melius est ante emplastra e"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculum,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"interdum obliquum; atque id ipsum nonnumquam retusa habet capita, nonnumquam acuta; quod genus pessimum est; quia neque facile committuntur, quae nulli retuso innituntur, et carnem vulnerant, interdum nervum quoque, aut musculum. Quin etiam aliquando plura fragmenta fiunt. Sed in aliis quidem ossibus ex toto saepe fragmentum a fragmento recedit: maxillae vero semper aliqua parte, etiam vexata ossa inter se cohaerent. Igitur inprimis digi"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculi,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"rtae. Si suis sedibus sunt, mota resonant, punctionisque sensum repraesentant; tactu inaequalia sunt. Si vero non adversa, sed obliqua junguntur, quod fit ubi loco suo non sunt, membrum id altero brevius est, et musculi ejus tument. Ergo, si hoc deprehensum est, protinus id membrum oportet extendere: nam nervi musculique, intenti per ossa, contrahuntur; neque in suun cum veniunt, nisi illos per vim aliquis intendit. Rursus, si primis d"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculique,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,". Si vero non adversa, sed obliqua junguntur, quod fit ubi loco suo non sunt, membrum id altero brevius est, et musculi ejus tument. Ergo, si hoc deprehensum est, protinus id membrum oportet extendere: nam nervi musculique, intenti per ossa, contrahuntur; neque in suun cum veniunt, nisi illos per vim aliquis intendit. Rursus, si primis diebus id omissum est, inflammatio oritur; sub qua et difficile et periculose vis nervis adhibetur: nam"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculi,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"ato membris, et mollis tamen unctio. Neque protinus exercendum id membrum, sed paulatim ad antiquos usus reducendum est. Gravius aliquanto est, quum ossis fracturae carnis quoque vulnus accessit; maximeque si id musculi femoris aut humeri senserunt: nam ct inflammationes multo graviores, et promtiores promptiores cancros habent. Ac femur quidem, si ossa inter se recesserunt, fere praecidi necesse est. Humerus quoque in periculum venit;"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculus,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"esserunt, fere praecidi necesse est. Humerus quoque in periculum venit; sed facilius conservatur. Quibus periculis etiam magis id expositum, quod juxta ipsos articulos ictum est. Curiosius igitur agendum est; et musculus quidem per mediam plagam transversus praecidendus: sanguis vero, si parum fluxit, mittendus: corpus inedia extenuandum. Ac reliqua quidem membra lentius intendenda, et lenius in iis ossa in suam sedem reponenda sunt: in"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculive,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"t enim coire. Si vetustas occupavit, membrum extendendum est; ossa inter se manu dividenda, ut concurrendo exasperentur, et si, quid pingue est, eradatur, totumque id quasi recens fiat: magna tamen cura habita, ne nervi musculive laedantur. Tum vino fovendum est, in quo malicorium decoctum sit; imponendumque id ipsum ovi albo mixtum: tertio die resolvendum, fovendumque aqua in qua verbenae, de quibus supra dixi , decoetae decoctae sint:"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculis,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,Celsus surgical context; anatomical by default in this work.,"ex aceto imposita: a cibo, si valentioris articuli casus est, triduo: interdum etiam quinque diebus abstinere: bibere aquam calidam, dum sitim finiat: curiosiusque haec facere, iis ossibus motis, quae validis plenisque musculis continentur: si vero etiam febris accessit, multo magis; deinde ex die quinto fovere aqua calida, remotaque lana, ceratum imponere ex cyprino factum, nitro quoque adjecto, done donec omnis inflammatio finiatur; t"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculi,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,Celsus: anatomical; auto-rule leaked on 'osse'.,"umque inclinatur: dentes paribus non respondent; sed sub iis, qui secant, canini sunt . At si utraque, totum mentum in exteriorem partem promovetur;inferioresque dentes longius quam superiores excedunt; intentique super musculi apparent. Primo quoque tempore homo in sedili collocandus est sic, ut minister a posteriore parte caput ejus contineat, vel sic, ut juxta parietem is sedeat, subjecto inter parietem et caput ejus scorteo pulvino"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculique,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,Celsus: anatomical.,"hoc casu femur, Hippocrates, Andreas, Nileus, Nymphodorus, Pro tarchus, Heraclides, aliique quidam reperissent, si id frustra esset. Sed ut haec falsa opinio est, sic illud verum est: quum ibi valentissimi nervi musculique sint, si suum robur habent, vix admittere; si non habent, postea non continere. Tentandum igitur est, et, si tenerum membrum est, satis est habena altera ab inguine, altera a genu intendi: si validius, melius adducent,"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculos,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"valentius intenditur membrum super scamnum, cui ab utraque parte axes sunt, ad quos habenae illae deligantur: qui, ut in torcularibus, conversi, rumpere quoque, sio si quis perseveraverit, non solum extendere nervos et musculos possunt. Collocandus autem homo super id scamnum ) est aut pronus, aut supinus, aut in latus sic, ut semper ea pars superior sit, in quam os prolapsum est; ea inferior, a qua recessit. Nervis extentis, si in prio"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculis,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"his, quae cum vulnere loco moventur. Haec facienda sunt in iis casibus, ubi sine vulnere ossa exciderunt ) .... Hic quoque et ingens periculum est, et eo gravius, quo majus membrum est, quove validioribus nervis aut musculis continetur. Ideoque in humeris, femoribusque metus mortis est: ac, si reposita ossa sunt, spes nulla est; non repositis tamen, nonnullum periculum est: eoque major in utroque timor est, quo propius vulnus articulo est."
muscle,"Cicero, Marcus Tullius",De Divinatione,musculorum,PERSEUS,phi0474/phi053/phi0474.phi053.perseus-lat3.xml,,"ra, primum exta sunt coniuncta mundo, deinde meum lucrum natura rerum continetur. Nonne pudet physicos haec dicere? Ut enim iam sit aliqua in natura rerum contagio, quam esse concedo (multa enim Stoici colligunt; nam et musculorum iecuscula bruma dicuntur augeri, et puleium aridum florescere brumali ipso die, et inflatas rumpi vesiculas, et semina malorum, quae in iis mediis inclusa sint, in contrarias partis se vertere, iam nervos in fidibus ali"
muscle,"Columella, Lucius Junius Moderatus",Res Rustica,musculis,PERSEUS,phi0845/phi002/phi0845.phi002.perseus-lat3.xml,,"s et procurrentem retrahit, et cunctantem producit. Si vero non pigeat iugum fabricare, quo tres iungantur, per plagae. Itaque si bos decubuit, utilissimum est pedes eius sic cingulis nervisque et musculis robusta, non adipibus obesa, ut nec sui tergoris mole nec labore operis degravetur. Sed quoniam quae sequenda sunt in emendis domandisque bubus tradidimus, tutelam eorum praecipiemus. Boves calore sub d"
muscle,LL:augustine__civ22,,muscula,LL,augustine__civ22.shtml,,"conectens animantem facit. Quod opus eius tam magnum et mirabile est, ut non solum in homine, quod est animal rationale et ex hoc cunctis terrenis animantibus excellentius atque praestantius, sed in qualibet minutissima muscula bene consideranti stuporem mentis ingerat laudemque pariat Creatoris. Ipse itaque animae humanae mentem dedit, ubi ratio et intellegentia in infante sopita est quodam modo, quasi nulla sit, excitanda scilicet atque ex"
muscle,LL:cassiodorus__varia7,,musculos,LL,cassiodorus__varia7.shtml,,"auctorum suorum scilicet adhuc signa retinentes, ut quamdiu laudabilium personarum opinio superesset, tamdiu et similitudinem vivae substantiae imago corporis custodiret: conspiciet expressas in aere venas, nisu quodam musculos tumentes, nervos quasi gradu tensos et sic hominem fusum in diversas similitudines, ut credas potius esse generatum. [3] Has primum Tusci in Italia invenisse referuntur, quas amplexa posteritas paene parem populum urbi"
muscle,LL:columella__columella.rr6,,musculis,LL,columella__columella.rr6.shtml,,"orum citra maciem conservant, qui ex commodo, quam qui festinanter mandunt. [15] Sed tam vitium est bubulci pinguem quam exilem bovem reddere; habilis enim et modica corporatura pecoris operarii debet esse, nervisque et musculis robusta, non adipibus obesa, ut nec sui tergoris mole nec labore operis degravetur. Sed quoniam quae sequenda sunt in emendis domandisque bubus tradidimus, tutelam eorum praecipiemus. III. Boves calore sub divo, frigor"
muscle,LL:columella__columella.rr6,,musculorum,LL,columella__columella.rr6.shtml,,"onesti animi documenta. [2] Corporis vero forma constabit exiguo capite, nigris oculis, naribus apertis, brevibus auriculis et arrectis, cervice molli lataque nec longa, densa iuba et per dextram partem profusa, lato et musculorum toris numeroso pectore, grandibus armis et rectis, lateribus inflexis, spina duplici, ventre substricto, testibus paribus et exiguis, latis lumbis et subsidentibus, [3] cauda longa et setosa crispaque, aequalibus atque"
muscle,LL:columella__columella.rr6,,musculoso,LL,columella__columella.rr6.shtml,,"inare mularum generi seminando, cuius, ut dixi, species experimento est pretiosior. [6] Verum tamen ab aspectu non aliter probari debet, quam ut sit amplissimi corporis, cervice valida, robustis ac latis costis, pectore musculoso et vasto, feminibus lacertosis, cruribus compactis, coloris nigri vel maculosi. Nam murinus cum sit in asino vulgaris, tum etiam non optime respondet in mula. [7] Neque nos universa quadrupedis species decipiat, si qual"
muscle,LL:columella__columella.rr8,,musculosa,LL,columella__columella.rr8.shtml,,"evia et adunca rostra, maximae candidissimaeque aures, paleae ex rutilo albicantes, quae velut incanae barbae dependent; iubae deinde variae vel ex auro flavae, per colla cervicesque in umeros diffusae; [10] tum lata et musculosa pectora, lacertosaeque similes brachiis alae; tum procerissimae caudae duplici ordine singulis utrimque prominentibus pinnis inflexae; quin etiam vasta femina et frequenter horrentibus plumis hirta, robusta crura nec lo"
muscle,LL:isidore__11,,musculorum,LL,isidore__11.shtml,,"s habere dicantur. Nam proprie armi quadrupedum sunt. Ola summi humeri pars posterior. [63] Brachia a fortitudine nominata: BARU enim Graece grave et forte significatur. In brachiis enim tori lacertorum sunt, et insigne musculorum robur existit. Hi sunt tori, id est musculi: et dicti tori, quod illic viscera torta videantur. [64] Cubitum dictum, quod ad cibos sumendos in ipso cubamus. Vlna secundum quosdam utriusque manus extensio est, secundum a"
muscle,LL:isidore__11,,musculi,LL,isidore__11.shtml,,"sunt. Ola summi humeri pars posterior. [63] Brachia a fortitudine nominata: BARU enim Graece grave et forte significatur. In brachiis enim tori lacertorum sunt, et insigne musculorum robur existit. Hi sunt tori, id est musculi: et dicti tori, quod illic viscera torta videantur. [64] Cubitum dictum, quod ad cibos sumendos in ipso cubamus. Vlna secundum quosdam utriusque manus extensio est, secundum alias cubitus; quod magis verum est, quia Gra"
muscle,LL:isidore__11,,musculi,LL,isidore__11.shtml,,"x sanguine et nervis copulata. Item lacerti, sive mures, quia sic in singulis membris cordis loco sunt ut cor in media totius corporis parte, appellanturque a nomine similium animalium sub terra delitescentium. Nam inde musculi a murium similitudine: idem etiam et tori, quod illic viscera torta videantur. [118] Cor a Graeca appellatione derivatum, quod illi KARDIAN dicunt, sive a cura. In eo enim omnis sollicitudo et scientiae causa manet. Qui"
muscle,LL:isidore__12,,musculorum,LL,isidore__12.shtml,,"res, quattuor spectantur: forma, pulchritudo, meritum atque color. Forma, ut sit validum corpus et solidum, robori conveniens altitudo, latus longum, substrictus maxime et rotundi clunis, pectus late patens, corpus omne musculorum densitate nodosum, pes siccus et cornu concavo solidatus. [46] Pulchritudo, ut sit exiguum caput et siccum, pelle prope ossibus adhaerente, aures breves et argutae, oculi magni, nares patulae, erecta cervix, coma densa"
muscle,LL:lucan__lucan9,,musculus,LL,lucan__lucan9.shtml,,"tum mortis habet. nam plagae proxima circum fugit rupta cutis pallentiaque ossa retexit; iamque sinu laxo nudum sine corpore uolnus. membra natant sanie, surae fluxere, sine ullo 770 tegmine poples erat, femorum quoque musculus omnis liquitur, et nigra destillant inguina tabe. dissiluit stringens uterum membrana, fluuntque uiscera; nec, quantus toto de corpore debet, effluit in terras, saeuum sed membra uenenum 775 decoquit, in minimum mors c"
muscle,LL:pliny.ep3,,musculi,LL,pliny.ep3.html,Plin. Ep. 5.8.10 (x2 copies): bones/muscles/sinews of a statue and of a style.,"m ego sapio, qui fortasse in omni re, in hac certe perquam exiguum sapio: hoc tamen signum ego quoque intellego. 2 Est enim nudum, nec aut vitia si qua sunt celat, aut laudes parum ostentat. Effingit senem stantem; ossa musculi nervi, venae rugae etiam ut spirantis apparent; rari et cedentes capilli, lata frons, contracta facies, exile collum; pendent lacerti, papillae iacent, venter recessit; 3 a tergo quoque eadem aetas ut a tergo. Aes ipsum"
muscle,LL:pliny.ep5,,musculi,LL,pliny.ep5.html,Plin. Ep. 5.8.10 (x2 copies): bones/muscles/sinews of a statue and of a style.,", sed plura diversa in his ipsis, quae communia videntur. Narrat illa narrat haec, sed aliter: huic pleraque humilia et sordida et ex medio petita, illi omnia recondita splendida excelsa conveniunt; 10 hanc saepius ossa musculi nervi, illam tori quidam et quasi iubae decent; haec vel maxime vi amaritudine instantia, illa tractu et suavitate atque etiam dulcedine placet; postremo alia verba alius sonus alia constructio. 11 Nam plurimum refert,"
muscle,LL:sidonius1,,musculis,LL,sidonius1.html,,"colorem non ira sed verecundia facit. teretes umeri, validi lacerti, dura brachia, patulae manus, recedente alvo pectus excedens. aream dorsi humilior inter excrementa costarum spina discriminat. tuberosum est utrumque musculis prominentibus latus. in succinctis regnat vigor ilibus. corneum femur, internodia poplitum bene mascula, maximus in minime rugosis genibus honor. crura suris fulta turgentibus et, qui magna sustentat membra, pes modicus"
muscle,LL:tertullian__tertullian.carne,,musculis,LL,tertullian__tertullian.carne.shtml,,"t spiritus ergo cum virtutibus falsus. quid dimidias mendacio Christum? totus veritas fuit. [9] maluit, credo, nasci quam ex aliqua parte mentiri, et quidem in semetipsum, ut carnem gestaret sine ossibus duram, sine musculis solidam, sine sanguine cruentam, sine tunica vestitam, sine fame esurientem, sine dentibus edentem, sine lingua loquentem, ut phantasma auribus fuerit sermo eius per imaginem vocis. fuit itaque phantasma etiam post re"
muscle,LL:tertullian__tertullian.carne,,musculos,LL,tertullian__tertullian.carne.shtml,,"rram, sanguine aquam. nam licet alia sit species qualitatis, hoc est quod ex alio aliud fit. ceterum quid est sanguis quam rubens humor, quid caro quam terra conversa in figuras suas? [3] considera singulas qualitates, musculos ut glebas, ossa ut saxa, etiam circum papillas calculos quosdam: aspice nervorum tenaces conexus ut traduces radicum et venarum ramosos discursus ut ambages rivorum et lanugines ut muscos et comam ut caespitem et ipso"
muscle,LL:testamentum,,musculos,LL,testamentum.html,,"visceribus dabo donabo sutoribus saetas, rix[at]oribus capitinas, surdis auriculas, causidicis et verbosis linguam, buculariis intestina, esiciariis femora, mulieribus lumbulos, pueris vesicam, puellis caudam, cinaedis musculos, cursoribus et venatoribus talos, latronibus ungulas. Et nec nominando coco legato dimitto popiam et pistillum, quae mecum attuleram; de Theveste usque ad Tergeste liget sibi colum de reste. Et volo mihi fieri monumentu"
muscle,LL:vegetius1,,musculosis,LL,vegetius1.html,,"melior, insignis et ore Et rutilis clarus squamis, ille horridus alter Desidia latamque trahens inglorius aluum'). Sit ergo adulescens Martio operi deputandus uigilantibus oculis, erecta ceruice, lato pectore, umeris musculosis, ualentibus brachiis, digitis longioribusm uentre modicus, exilior clunibus, suris et pedibus non superflua carne distentis sed neruorum duritia collectis. Cum haec in tirone signa deprehenderis, proceritatem non magno"
muscle,Lucan,Civil War,musculus,PERSEUS,phi0917/phi001/phi0917.phi001.perseus-lat2.xml,,"is habet. Nam plagae proxima circum Fugit rapta cutis, pallentiaque ossa retexit. Iamque sinu laxo nudum est sine corpore vulnus; Membra natant sanie: surae fluxere: sine ullo Tegmine poples erat: femorum quoque musculus omni Liquitur, et nigra distillant inguina tabe. Dissiluit stringens uterum membrana, fluuntque Viscera: nec, quantum toto de corpore debet, Effluit in terras: saevum sed membra venenum Decoquit; in minimum mo"
muscle,"Pliny, the Elder",Naturalis Historia,musculos,PERSEUS,phi0978/phi001/phi0978.phi001.perseus-lat2.xml,,"eadem Africa pardi condensa m arbore m occultatique e x ramis in praetereuntia desiliunt atque e volucrum sede grassantur . feles quidem quo silentio, quam levibus vestigiis obrepunt avibus! quam occulte speculatae in musculos exiliunt! excrementa sua effossa obruunt terra, intellegentes odorem ilium indicem sui esse. ergo et alios quosdam sensus esse quam supra dictos haut difficulter apparet. Sunt enim quaedam i"
muscle,"Pliny, the Elder",Naturalis Historia,musculis,PERSEUS,phi0978/phi001/phi0978.phi001.perseus-lat2.xml,Plin. NH 26: anatomical.,"ciosae tus si citissime medentur . Hippocrates vulneratis sitientibusque defectu sanguinis radicis decoctae sucum bibendum dedit et ipsam vulneribus cum melle et resina, item contusis , luxatis, tumentibus; et musculis, nervis, articulis inposuit ut supra; spasticis , dysintericis in vino bibendam dedit. mirum aquam radice ea addita addensari sub diu atque glaciescere . efficacior autem quo recentior. Nec lapathum d"
muscle,"Pliny, the Elder",Naturalis Historia,musculorum,PERSEUS,phi0978/phi001/phi0978.phi001.perseus-lat2.xml,,"aqua et oleo decoctum et cum aneso inlitum . torretur , ut alvum sistat. coeliacis et dysintericis inponitur ex aceto. ad iocineris dolores estur cum uva passa; ad phthisim utilissime e semine fiunt ecligmata . musculorum, nervorum, articulorum, cervicium duritias, cerebri membranas mitigat farina seminis nitro aut sale aut cinere additis . eadem cum fico... etidem concoquit ac maturat; cum radice vero cucumeris silvestris extrahit quae"
muscle,"Pliny, the Younger",Epistulae,musculi,PERSEUS,phi1318/phi001/phi1318.phi001.perseus-lat1.xml,Plin. Ep. 5.8.10 (x2 copies): bones/muscles/sinews of a statue and of a style.,"sapio, qui fortasse in omni re, in hac certe perquam exiguum sapio: hoc tamen signum ego quoque intellego. Est enim nudum, nec aut vitia si qua sunt celat, aut laudes parum ostentat. Effingit senem stantem; ossa musculi nervi, venae rugae etiam ut spirantis apparent; rari et cedentes capilli, lata frons, contracta facies, exile collum; pendent lacerti, papillae iacent, venter recessit; a tergo quoque eadem aetas ut a tergo. Aes"
muscle,"Pliny, the Younger",Epistulae,musculi,PERSEUS,phi1318/phi001/phi1318.phi001.perseus-lat1.xml,Plin. Ep. 5.8.10 (x2 copies): bones/muscles/sinews of a statue and of a style.,"plura diversa in his ipsis, quae communia videntur. Narrat illa narrat haec, sed aliter: huic pleraque humilia et sordida et ex medio petita, illi omnia recondita splendida excelsa conveniunt; hanc saepius ossa musculi nervi, illam tori quidam et quasi iubae decent; haec vel maxime vi amaritudine instantia, illa tractu et suavitate atque etiam dulcedine placet; postremo alia verba alius sonus alia constructio. Nam plurimum re"
muscle,Sidonius Apollinaris,Epistulae,musculis,PERSEUS,stoa0261/stoa0002/stoa0261.stoa0002.perseus-lat1.xml,,"lorem non ira sed verecundia facit. teretes umeri, validi lacerti, dura bracchia, patulae manus, recedente alvo pectus excedens. 1 aream dorsi humilior inter excrementa costarum spina discriminat. tuberosum est utrumque musculis prominentibus latus, in succinctis regnat vigor ilibus. corneum femur, internodia poplitum bene mascula, maximus in minime rugosis genibus honor; crura suris fulta turgentibus et, qui magna sustentat membra, pes modicus"
muscle,Tertullian,De Carne Christi,musculis,PERSEUS,stoa0275/stoa012/stoa0275.stoa012.opp-lat1.xml,,"icta, et spiritus ergo cum virtutibus falsus. Quid dimidias mendacio Christum? Totus veritas fuit. Maluit, crede, nasci quam ex aliqua parte mentiri, et quidem in semetipsum, ut carnem gestaret sine ossibus duram, sine musculis solidam, sine sanguine cruentam, sine tunica vestitam, sine fame esurientem, sine dentibus edentem, sine lingua loquentem, ut phantasma auribus fuerit sermo eius per imaginem vocis. Fuit itaque phantasma etiam post resu"
muscle,Tertullian,De Carne Christi,musculos,PERSEUS,stoa0275/stoa012/stoa0275.stoa012.opp-lat1.xml,,"itetur, carne terram, sanguine aquam. Nam licet alia sit species qualitatis, hoc est quod ex alio aliud fit, ceterum quid est sanguis quam rubens humor? quid caro quam terra in figura sua? Considera singulas qualitates, musculos ut glebas, ossa ut saxa, etiam circum papillas calculos quosdam. Aspice nervorum tenaces conexus ut traduces radicum, et venarum ramosos discursus ut ambages rivorum, et lanugines ut muscos, et comam ut cespitem, et ips"
shellfish,,,musculae,PERSEUS,stoa0054/stoa006/stoa0054.stoa006.perseus-lat1.xml,,"s praeclara copiosis, et quidem praecipue issicio abundat, et anguilla. Capiuntur autem saepissime et uituli marini, et delphines, nec non et balenae; exceptis uariorum generibus concyliorum; in quibus sunt et musculae, quibus inclusam saepe margaritam omnis quidem coloris optimam inueniunt, id est et rubicundi, et purpurei, et iacintini, et prasini, sed maxime candidi. Sunt et cocleae satis superque abundantes, quibus tinctura coccin"
shellfish,"Ausonius, Decimus Magnus",Epistulae,musculis,PERSEUS,stoa0045/stoa011/stoa0045.stoa011.perseus-lat2.xml,,"riberes ad ea, quae dudum ioculariter luseram de cessatione tua valde impia et mea efflagitatione, cuius rei munus reciprocum quoniam in me colendo fastidisti, inventa inter tineas epistula vetere, quam de ostreis et musculis adfectata obscuritate condideram, quae adulescens temere fuderam, iam senior retractavi. set in eundem modum instaurata est satirica et ridicula conciunatio, saltem ut nunc respondeas novissimae cantilenae, qui illam"
shellfish,"Ausonius, Decimus Magnus",Epistulae,musculus,PERSEUS,stoa0045/stoa011/stoa0045.stoa011.perseus-lat2.xml,,"c duae recedant; binas ter decies, semel quaternas, et sex adde novem vel octo septem, aut septem geminis bis octo iunge, aut — ne sim tibi pluribus molestus, triginta numero fuere cunctae. Iunctus limicolis musculus ostreis primo conposuit fereula prandio, gratus deliciis nobilium cibus et sumptu modicus pauperibus focis, non hic navifrago quaeritur aequore, ut crescat pretium grande periculis; set primore vado post ref"
shellfish,"Celsus, Aulus Cornelius",De Medicina,musculi,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"pa, malva, lapathum, beta, asparagus, cucurbita, cerasa, mora, poma omnia mitia, ficus etiam arida, sed magis viridis, uvae recentes, pingues minutae aves, cochleae, garum, salsamentum, ostrea, pelorides, echini, musculi, et omnes fere conchulae, maximeque jus earum; saxatiles, et omnes teneri pisces, sepiarum atramentum; si qua caro assumitur pinguis, eadem vel jurulenta, vel elixa; aves quae natant; mel crudum, lac, lactantia omnia, m"
shellfish,"Celsus, Aulus Cornelius",De Medicina,musculorumve,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"na; interdum etiam oleum in solio cum aqua calida miscere; uti cibo serius et rarius, tenui, simplici, molli, calido, exiguo; maximeque oleribus holeribus , qualia sunt lapathum, urtica, malva; vel jure etiam concharum, musculorumve, aut locustarum: neque danda caro, nisi elixa, est. At potio esse debet magis liberalis, et ante cibum, et post hunc, et cum hoc, ultra quam sitis coget: poteritque a balneo etiam pinguius, aut dulcius dari vinum; poter"
shellfish,LL:bede__bede1,,musculae,LL,bede__bede1.shtml,,"ac fontibus praeclara copiosis, et quidem praecipue issicio abundat, et anguilla. Capiuntur autem saepissime et uituli marini, et delphines, nec non et balenae; exceptis uariorum generibus concyliorum; in quibus sunt et musculae, quibus inclusam saepe margaritam omnis quidem coloris optimam inueniunt, id est et rubicundi, et purpurei, et iacintini, et prasini, sed maxime candidi. Sunt et cocleae satis superque abundantes, quibus tinctura coccin"
shellfish,LL:isidore__12,,Musculi,LL,isidore__12.shtml,,"os. Duo sunt autem genera cancrorum: fluviales et marini. [52] Ostrea dicta est a testa, quibus mollities interior carnis munitur; Graeci enim testam OSTRA vocant. Ostrea autem neutrum, carnes eius feminino dicunt. [53] Musculi sunt, ut praediximus (ß 6), cochleae a quorum lacte concipiunt ostreae; et dicti musculi quasi masculi. [54] Pelorides a Peloro promontorio Siciliae, ubi abundant, cognominatae sunt (Virg. Aen. 3,687): Ecce autem Boreas"
